WORDS,CHATGPT,OED,DEF_YEAR,OLD_DEF,NEW_DEF
laws,0,0,1817,,
door,0,0,1425,,
language,0,0,1688,,
b,0,1,1985,,
army,0,0,1425,,
temperature,0,0,1531,,
persons,0,0,1548,,
river,0,0,1531,,
condition,0,0,1513,,
research,0,0,1708,,
length,0,0,1622,,
town,0,0,1585,,
rule,0,0,1567,,
morning,0,0,1275,,
miles,0,0,1722,,
type,0,1,1887,,
material,0,0,1643,,
books,0,0,Old English,,
congress,0,1,1850,,
hope,0,0,1440,,
data,0,0,1645,,
sir,0,0,1618,,
front,0,0,1540,,
association,0,0,1535,,
support,0,0,1391,,
march,0,1,1866,,
europe,0,1,1957,,
pressure,0,1,1911,,
community,0,0,1395,,
growth,0,0,1773,,
date,0,0,1513,,
washington,0,1,1878,,
price,0,0,1835,,
answer,0,0,Old English,,
movement,0,0,1393,,
authority,0,0,1225,,
energy,0,0,1545,,
hour,0,1,1869,,
figure,0,0,1382,,
capital,0,0,1776,,
june,0,1,1869,,
presence,0,0,1325,,
india,0,0,1586,,
food,0,0,1300,,
distance,0,0,1578,,
paper,0,0,1813,,
journal,0,0,1803,,
chief,0,0,1297,,
college,0,0,1819,,
relation,0,0,1390,,
analysis,0,0,1580,,
ways,0,1,1850,,
attempt,0,0,1548,,
income,0,0,1808,,
note,0,0,1825,,
object,0,0,1650,,
loss,0,0,1833,,
relations,0,0,1390,,
nations,0,0,1765,,
groups,0,0,1706,,
existence,0,0,1425,,
bank,0,0,1598,,
series,0,0,1594,,
industry,0,0,1473,,
function,0,0,1844,,
studies,0,0,1300,,
schools,0,0,1695,,
nation,0,0,1765,,
ii,0,0,Old English,,
friends,0,0,1225,,
labor,0,0,1390,,
operation,0,0,1393,,
july,0,0,Old English,,
commission,0,0,1725,,
practice,0,0,1421,,
role,0,1,1976,,
disease,0,0,1439,,
regard,0,0,1620,,
works,0,0,Old English,,
needs,0,0,1500,,
duty,0,1,1853,,
points,0,0,1832,,
friend,0,0,1225,,
structure,0,0,1664,,
patient,0,0,1647,,
voice,0,0,1429,,
sun,0,0,1774,,
fire,0,0,1540,,
questions,0,0,1470,,
source,0,0,1616,,
organization,0,0,1425,,
interests,0,0,1608,,
plan,0,0,1718,,
forms,0,0,1575,,
market,0,0,1493,,
majority,0,0,1760,,
constitution,0,0,1380,,
affairs,0,0,1390,,
secretary,0,1,1927,,
meeting,0,0,1548,,
principle,0,0,1823,,
building,0,0,1597,,
christ,0,0,Old English,,
principles,0,0,1823,,
stage,0,0,1640,,
treatment,0,0,1560,,
april,0,0,Old English,,
justice,0,0,1300,,
addition,0,0,1659,,
meaning,0,1,1884,,
goods,0,0,Old English,,
minister,0,0,1340,,
methods,0,0,1607,,
street,0,0,1555,,
decision,0,1,1877,,
author,0,0,1597,,
instance,0,0,1513,,
volume,0,0,1815,,
students,0,1,1925,,
forces,0,0,1847,,
factors,0,0,1611,,
rise,0,0,1450,,
powers,0,0,1713,,
understanding,0,0,1200,,
co,0,1,1916,,
lines,0,0,1523,,
discussion,0,0,1425,,
religion,0,0,1200,,
january,0,0,Old English,,
services,0,0,1602,,
workers,0,0,1382,,
effects,0,0,1581,,
acid,0,1,1916,,
week,0,1,1856,,
road,0,0,1841,,
space,0,0,1612,,
opportunity,0,0,1387,,
circumstances,0,0,1475,,
germany,0,0,Old English,,
success,0,0,1545,,
range,0,0,1780,,
statement,0,1,1931,,
relationship,0,0,1724,,
agreement,0,0,1425,,
faith,0,0,1438,,
eye,0,0,1818,,
charge,0,0,1250,,
center,0,0,1624,,
tax,0,0,1651,,
facts,0,0,1606,,
administration,0,0,1350,,
weight,0,0,1647,,
fig,0,1,1891,,
minutes,0,0,1601,,
everything,0,0,1225,,
strength,0,0,1200,,
feeling,0,0,1400,,
freedom,0,0,1548,,
desire,0,0,1303,,
literature,0,0,1450,,
bed,0,1,1941,,
heat,0,0,Old English,,
december,0,0,1845,,
values,0,0,1434,,
parties,0,0,1586,,
purposes,0,0,1382,,
britain,0,0,1490,,
soul,0,0,1616,,
arms,0,0,1761,,
reasons,0,0,1736,,
supply,0,0,1701,,
measure,0,0,1325,,
test,0,1,1952,,
x,0,0,1849,,
cells,0,1,1988,,
percent,0,1,1863,,
review,0,0,1573,,
paris,0,0,1307,,
areas,0,0,1552,,
species,0,0,1551,,
connection,0,0,1609,,
application,0,0,1398,,
scale,0,0,1813,,
wall,0,1,1884,,
lives,0,0,1531,,
october,0,0,Old English,,
effort,0,0,1661,,
progress,0,0,1579,,
step,0,1,1985,,
month,0,1,1887,,
demand,0,0,1500,,
rules,0,0,1567,,
sort,0,1,1956,,
issue,0,0,1400,,
distribution,0,0,1382,,
library,0,0,1382,,
consideration,0,0,1386,,
august,0,1,1900,,
portion,0,0,1400,,
revolution,0,0,1805,,
differences,0,0,1661,,
september,0,0,Old English,,
cross,0,0,1731,,
provisions,0,0,1604,,
county,0,0,1848,,
quality,0,0,1813,,
expression,0,0,1425,,
letters,0,0,1616,,
boy,0,0,1718,,
ideas,0,0,1638,,
none,0,0,1782,,
program,0,0,1834,,
proportion,0,0,1384,,
chance,0,0,1393,,
reference,0,0,1623,,
places,0,0,1793,,
chicago,0,0,1821,,
ability,0,0,1398,,
advantage,0,0,1459,,
stock,0,1,1882,,
article,0,0,1434,,
husband,0,0,1325,,
share,0,0,1735,,
mouth,0,0,1400,,
notice,0,0,1447,,
region,0,0,1330,,
lack,0,0,1816,,
events,0,1,1969,,
girl,0,0,1820,,
fear,0,0,1816,,
product,0,0,1826,,
california,0,0,1831,,
foot,0,0,1604,,
activity,0,0,1425,,
factor,0,0,1611,,
weeks,0,0,Old English,,
job,0,0,1843,,
picture,0,0,1490,,
sum,0,0,1570,,
supreme,0,0,1475,,
elements,0,0,1400,,
governor,0,0,1325,,
november,0,0,Old English,,
china,0,0,1706,,
contract,0,0,1530,,
gold,0,0,Old English,,
activities,0,0,1425,,
parents,0,0,1663,,
conclusion,0,0,1374,,
brother,0,0,1455,,
corporation,0,0,1439,,
bill,0,1,1969,,
february,0,0,1225,,
floor,0,0,1841,,
william,0,1,1967,,
officers,0,0,1648,,
vol,0,0,1722,,
mass,0,1,1965,,
judgment,0,0,1250,,
master,0,0,1827,,
district,0,0,1792,,
post,0,1,1984,,
africa,0,0,Old English,,
enemy,0,1,1864,,
materials,0,0,1643,,
coast,0,0,1382,,
oil,0,0,1706,,
music,0,0,1649,,
sides,0,1,1913,,
island,0,0,1661,,
products,0,0,1826,,
iron,0,1,1892,,
task,0,0,1483,,
jesus,0,0,Old English,,
bottom,0,0,1544,,
difficulty,0,0,1382,,
sight,0,1,1930,,
economy,0,0,1440,,
motion,0,0,1476,,
animals,0,0,1398,,
division,0,0,1374,,
record,0,1,1950,,
evening,0,1,1874,,
resources,0,1,1917,,
spite,0,0,1400,,
approach,0,0,1489,,
patients,0,0,1647,,
list,0,0,1813,,
absence,0,0,1325,,
types,0,0,1596,,
danger,0,0,1672,,
failure,0,0,1643,,
management,0,0,1598,,
battle,0,0,1721,,
lot,0,0,1487,,
classes,0,0,1642,,
piece,0,0,1686,,
variety,0,0,1533,,
race,0,0,1758,,
culture,0,0,1510,,
matters,0,0,1614,,
dollars,0,0,1553,,
hill,0,0,1552,,
contact,0,0,1834,,
kingdom,0,1,1891,,
institute,0,0,1681,,
behavior,0,0,1490,,
philosophy,0,0,1382,,
security,0,0,1425,,
title,0,0,1560,,
individuals,0,0,1425,,
exercise,0,0,1382,,
cities,0,0,1225,,
training,0,0,1677,,
numbers,0,0,1325,,
soil,0,0,1844,,
empire,0,0,1840,,
marriage,0,0,1300,,
construction,0,0,1387,,
gas,0,1,1918,,
judge,0,0,1350,,
speech,0,1,1875,,
origin,0,0,1640,,
daughter,0,0,Old English,,
equation,0,0,1393,,
names,0,0,Old English,,
base,0,1,1984,,
conference,0,0,1846,,
teachers,0,0,1619,,
treaty,0,1,1862,,
acts,0,0,1460,,
possession,0,0,1602,,
teacher,0,0,1619,,
commerce,0,0,1839,,
royal,0,0,1400,,
claim,0,0,1330,,
labour,0,0,1390,,
model,0,0,1581,,
aid,0,1,1961,,
sale,0,0,1809,,
command,0,0,1552,,
protection,0,0,1350,,
reader,0,0,Old English,,
trust,0,0,1604,,
appearance,0,0,1384,,
possibility,0,0,1385,,
choice,0,0,1756,,
content,0,0,1578,,
causes,0,0,1845,,
formation,0,0,1450,,
systems,0,0,1580,,
efforts,0,0,1661,,
trouble,0,0,1509,,
ship,0,1,1998,,
responsibility,0,0,1642,,
balance,0,0,1770,,
flow,0,0,1804,,
struggle,0,0,1692,,
houses,0,1,1986,,
payment,0,0,1778,,
trees,0,0,1650,,
text,0,1,1854,,
boston,0,1,1913,,
village,0,0,1819,,
officer,0,0,1648,,
san,0,1,1906,,
subjects,0,0,1382,,
attack,0,0,1646,,
occasion,0,0,1677,,
assembly,0,0,1330,,
pleasure,0,0,1538,,
conduct,0,0,1430,,
republic,0,0,1549,,
summer,0,0,1703,,
passage,0,0,1791,,
inches,0,0,1599,,
george,0,0,1474,,
charles,0,0,Old English,,
duties,0,0,1297,,
steps,0,1,1895,,
exchange,0,0,1400,,
hall,0,1,1867,,
visit,0,0,1626,,
figures,0,0,1382,,
politics,0,1,1892,,
james,0,0,1225,,
page,0,0,1615,,
accordance,0,0,1388,,
courts,0,0,1666,,
introduction,0,0,1386,,
benefit,0,0,1549,,
capacity,0,0,1480,,
edge,0,0,1297,,
quantity,0,0,1325,,
belief,0,0,1175,,
wind,0,0,1557,,
cambridge,0,0,1580,,
today,0,0,Old English,,
student,0,1,1925,,
henry,0,1,1890,,
hair,0,0,1751,,
unit,0,0,1721,,
japan,0,0,1688,,
vote,0,0,1827,,
plant,0,0,1798,,
prices,0,0,1471,,
event,0,1,1969,,
description,0,0,1384,,
trial,0,1,1981,,
examination,0,0,1325,,
tree,0,0,1650,,
birth,0,0,1667,,
spring,0,1,1886,,
agriculture,0,0,1440,,
response,0,0,1300,,
boys,0,0,1718,,
functions,0,0,1844,,
costs,0,0,1598,,
sake,0,0,1687,,
ages,0,0,1440,,
performance,0,0,1487,,
election,0,0,1270,,
sons,0,1,1918,,
shape,0,1,1950,,
environment,0,0,1603,,
resistance,0,0,1325,,
employment,0,0,1437,,
citizens,0,0,1686,,
lady,0,0,1600,,
canada,0,0,1814,,
detail,0,0,1837,,
estate,0,0,1600,,
cell,0,1,1988,,
quarter,0,0,1495,,
reaction,0,0,1585,,
design,0,0,1565,,
height,0,0,1607,,
window,0,0,1616,,
appeal,0,0,1330,,
heaven,0,0,1614,,
professor,0,0,1835,,
news,0,0,1650,,
liberty,0,1,1882,,
russia,0,0,1663,,
aspects,0,0,1692,,
parliament,0,0,1537,,
oxford,0,0,1455,,
centre,0,0,1555,,
pain,0,0,1550,,
staff,0,1,1878,,
plants,0,0,1798,,
rates,0,1,1883,,
reality,0,0,1513,,
attitude,0,0,1668,,
establishment,0,0,1481,,
corner,0,0,1400,,
measures,0,0,1325,,
ratio,0,1,1928,,
necessity,0,0,1827,,
indians,0,0,1393,,
animal,0,0,1400,,
glass,0,0,1547,,
centuries,0,0,1398,,
institutions,0,0,1380,,
horse,0,0,Old English,,
tendency,0,0,1774,,
writer,0,0,Old English,,
senate,0,0,1275,,
argument,0,0,1747,,
bureau,0,0,1664,,
credit,0,0,1541,,
teaching,0,1,1853,,
italy,0,0,Old English,,
hospital,0,0,1840,,
confidence,0,1,1875,,
sign,0,0,1641,,
rome,0,1,1867,,
papers,0,0,1594,,
conflict,0,0,1475,,
sleep,0,0,Old English,,
families,0,0,1388,,
queen,0,0,1616,,
arm,0,1,1980,,
distinction,0,0,1225,,
troops,0,0,1565,,
risk,0,0,1660,,
objects,0,0,1425,,
m,0,1,1997,,
sources,0,0,1616,,
walls,0,1,1884,,
representatives,0,0,1475,,
kinds,0,0,1596,,
n,0,1,1858,,
doctrine,0,0,1648,,
welfare,0,1,1909,,
mexico,0,0,Old English,,
status,0,0,1577,,
procedure,0,0,1577,,
exception,0,0,1845,,
speed,0,0,Old English,,
car,0,0,1791,,
police,0,0,1600,,
stone,0,0,1175,,
brown,0,0,1300,,
psychology,0,0,1654,,
girls,0,0,1820,,
scene,0,1,1973,,
memory,0,0,1225,,
league,0,0,1623,,
t,0,1,1978,,
virginia,0,0,1609,,
territory,0,0,1477,,
skin,0,0,1825,,
beauty,0,0,1598,,
error,0,0,1828,,
articles,0,0,1434,,
phase,0,1,1904,,
provision,0,0,1604,,
image,0,0,1390,,
convention,0,0,1419,,
p,0,0,1670,,
leaders,0,0,1440,,
arts,0,0,1602,,
consequence,0,0,1645,,
explanation,0,0,1382,,
brain,0,0,1400,,
wealth,0,0,1275,,
firm,0,1,1875,,
sciences,0,0,1350,,
consent,0,0,1538,,
spain,0,0,1340,,
executive,0,0,1646,,
angle,0,1,1874,,
banks,0,0,1567,,
thomas,0,0,Old English,,
winter,0,0,1683,,
edition,0,0,1715,,
wood,0,1,1925,,
difficulties,0,0,1382,,
element,0,0,1400,,
ones,0,0,Old English,,
paul,0,1,1975,,
color,0,1,1944,,
concept,0,0,1603,,
touch,0,0,1325,,
notes,0,0,1825,,
significance,0,0,1400,,
impression,0,0,1612,,
chair,0,0,1815,,
features,0,0,1755,,
independence,0,0,1641,,
fields,0,1,1865,,
plane,0,1,1908,,
tube,0,0,1828,,
minds,0,1,1881,,
examples,0,0,1393,,
mountains,0,1,1899,,
e,0,1,1988,,
orders,0,0,1225,,
machine,0,0,1545,,
permission,0,0,1425,,
valley,0,0,1793,,
ministry,0,0,1225,,
operations,0,0,1393,,
sections,0,0,1819,,
prince,0,0,1592,,
foundation,0,0,1661,,
views,0,0,1520,,
leaves,0,1,1885,,
copy,0,0,1530,,
issues,0,0,1400,,
processes,0,0,1814,,
concern,0,0,1589,,
anyone,0,0,1393,,
details,0,0,1837,,
museum,0,0,1838,,
silver,0,0,1440,,
owner,0,0,Old English,,
determination,0,0,1395,,
collection,0,0,1715,,
requirements,0,0,1530,,
creation,0,0,1390,,
ends,0,0,1616,,
lake,0,1,1898,,
advance,0,0,1400,,
v,0,1,1944,,
survey,0,0,1535,,
style,0,1,1934,,
mark,0,1,1850,,
companies,0,0,1387,,
interpretation,0,0,1382,,
garden,0,0,1558,,
expense,0,1,1909,,
levels,0,0,1552,,
characteristics,0,0,1646,,
substance,0,0,1330,,
output,0,0,1839,,
assistance,0,0,1492,,
proceedings,0,0,1425,,
address,0,0,1477,,
comparison,0,0,1627,,
doctor,0,0,1594,,
concentration,0,0,1606,,
limits,0,0,1425,,
bodies,0,0,1566,,
generation,0,0,1325,,
duke,0,1,1860,,
sex,0,1,1874,,
frequency,0,0,1570,,
circuit,0,0,1550,,
proof,0,0,1699,,
publication,0,0,1387,,
iii,0,0,Old English,,
intention,0,0,1611,,
profit,0,0,1330,,
institution,0,0,1380,,
instrument,0,0,1623,,
lands,0,1,1920,,
communication,0,0,1382,,
game,0,0,1775,,
director,0,1,1892,,
jurisdiction,0,0,1300,,
islands,0,0,1661,,
equipment,0,0,1717,,
properties,0,1,1897,,
crown,0,0,1602,,
opposition,0,0,1395,,
pounds,0,0,1570,,
axis,0,0,1601,,
authorities,0,0,1225,,
feelings,0,0,1225,,
minute,0,0,1601,,
box,0,1,1886,,
stages,0,0,1330,,
experiments,0,0,1481,,
steel,0,0,1811,,
poet,0,0,1382,,
sister,0,0,1609,,
mine,0,0,1600,,
consciousness,0,0,1605,,
youth,0,0,1672,,
asia,0,0,Old English,,
seat,0,0,1740,,
limit,0,0,1425,,
diameter,0,1,1853,,
funds,0,0,1762,,
planning,0,0,1730,,
medicine,0,0,1632,,
emperor,0,1,1854,,
composition,0,0,1382,,
pacific,0,0,1568,,
milk,0,1,1881,,
poetry,0,0,1387,,
season,0,0,1587,,
decisions,0,1,1877,,
philadelphia,0,0,1788,,
neck,0,0,1820,,
leader,0,0,1440,,
experiment,0,0,1481,,
mile,0,0,1722,,
safety,0,1,1916,,
station,0,0,1609,,
insurance,0,0,1556,,
pages,0,0,1615,,
thousands,0,0,Old English,,
legislature,0,0,1659,,
wages,0,0,1338,,
farm,0,0,1425,,
search,0,0,1440,,
thoughts,0,0,Old English,,
streets,0,0,1555,,
instances,0,0,1513,,
records,0,1,1950,,
project,0,0,1624,,
velocity,0,0,1555,,
curve,0,0,1609,,
percentage,0,0,1757,,
favor,0,0,1340,,
purchase,0,0,1325,,
circle,0,0,1374,,
sentence,0,0,1400,,
improvement,0,0,1449,,
jews,0,0,1825,,
medium,0,0,1573,,
defendant,0,0,1325,,
carolina,0,0,1735,,
path,0,1,1937,,
reports,0,0,1425,,
mary,0,1,1940,,
agent,0,0,1841,,
plans,0,0,1718,,
virtue,0,0,1393,,
advice,0,0,1325,,
journey,0,0,1330,,
reduction,0,0,1425,,
smith,0,0,Old English,,
grant,0,1,1889,,
tests,0,1,1952,,
bit,0,1,1947,,
captain,0,0,1631,,
transfer,0,0,1674,,
vice,0,1,1889,,
standards,0,1,1873,,
soldiers,0,0,1647,,
crime,0,0,1550,,
pattern,0,0,1567,,
unity,0,0,1604,,
investigation,0,0,1450,,
context,0,0,1774,,
settlement,0,0,1626,,
afternoon,0,0,1330,,
ohio,0,0,1810,,
branch,0,0,1640,,
relief,0,1,1898,,
actions,0,0,1734,,
louis,0,1,1855,,
buildings,0,0,1325,,
chapters,0,0,1485,,
taxes,0,0,1728,,
universe,0,0,1425,,
majesty,0,0,1300,,
chairman,0,1,1888,,
conception,0,0,1350,,
someone,0,0,1305,,
aspect,0,0,1692,,
accounts,0,0,1300,,
carbon,0,1,1922,,
sky,0,1,1908,,
columbia,0,0,Old English,,
moon,0,1,1918,,
maintenance,0,0,1350,,
regulations,0,0,1611,,
combination,0,0,1533,,
depth,0,0,1382,,
consequences,0,0,1645,,
investment,0,0,1600,,
ireland,0,1,1861,,
stress,0,0,1400,,
vessels,0,0,1790,,
assumption,0,0,1297,,
r,0,1,1955,,
sample,0,0,1592,,
promise,0,0,1430,,
towns,0,0,1585,,
branches,0,0,1382,,
debt,0,0,1604,,
site,0,1,1930,,
inhabitants,0,0,1462,,
ships,0,1,1998,,
wave,0,0,1688,,
scope,0,0,1688,,
stream,0,0,1250,,
plate,0,0,1449,,
coal,0,0,1673,,
request,0,0,1728,,
robert,0,0,1653,,
definition,0,0,1384,,
amendment,0,0,1230,,
reign,0,0,1699,,
fish,0,0,1825,,
pennsylvania,0,0,1739,,
contrast,0,0,1609,,
career,0,0,1594,,
representative,0,0,1475,,
governments,0,0,1400,,
mixture,0,0,1604,,
miss,0,1,1897,,
increases,0,0,1374,,
employees,0,1,1862,,
tradition,0,0,1637,,
writers,0,0,Old English,,
salt,0,1,1968,,
pieces,0,0,1430,,
province,0,0,1382,,
technology,0,0,1612,,
camp,0,1,1961,,
session,0,1,1895,,
rock,0,0,1719,,
defense,0,0,1398,,
personality,0,0,1425,,
atmosphere,0,1,1881,,
oxygen,0,0,1788,,
train,0,0,1838,,
preparation,0,0,1390,,
guide,0,0,1374,,
attempts,0,0,1548,,
units,0,0,1570,,
horses,0,0,Old English,,
fund,0,0,1762,,
resolution,0,0,1757,,
evolution,0,0,1616,,
estimate,0,0,1639,,
academy,0,0,1382,,
recognition,0,0,1430,,
hearing,0,0,1300,,
spot,0,1,1851,,
demands,0,0,1500,,
periods,0,0,1595,,
f,0,1,1954,,
heads,0,1,1959,,
discovery,0,0,1527,,
behalf,0,0,1330,,
contribution,0,0,1387,,
impact,0,0,1781,,
paragraph,0,0,1601,,
massachusetts,0,0,1616,,
boat,0,1,1974,,
code,0,0,1815,,
regions,0,0,1330,,
industries,0,0,1473,,
bar,0,1,1903,,
conversation,0,0,1830,,
interior,0,0,1490,,
feature,0,0,1755,,
rank,0,1,1867,,
movements,0,0,1393,,
probability,0,0,1443,,
sugar,0,1,1883,,
claims,0,0,1330,,
israel,0,0,Old English,,
forest,0,0,1818,,
satisfaction,0,0,1340,,
column,0,0,1839,,
birds,0,0,1574,,
observations,0,0,1382,,
emphasis,0,0,1534,,
grand,0,0,1602,,
statute,0,1,1880,,
revenue,0,0,1427,,
economics,0,0,1535,,
destruction,0,0,1330,,
americans,0,0,1568,,
temple,0,0,1595,,
honor,0,0,1275,,
stories,0,0,1692,,
chamber,0,0,1402,,
dinner,0,0,1724,,
midst,0,0,1450,,
message,0,0,1582,,
mountain,0,1,1899,,
selection,0,0,1650,,
dream,0,0,1600,,
commons,0,0,1808,,
bible,0,0,1529,,
mistake,0,0,1600,,
colonies,0,0,1790,,
reply,0,0,1560,,
happiness,0,0,1473,,
organizations,0,0,1425,,
degrees,0,0,1614,,
taste,0,0,1847,,
instruction,0,0,1410,,
metal,0,0,1578,,
expansion,0,0,1611,,
symptoms,0,0,1648,,
diseases,0,0,1384,,
intelligence,0,0,1644,,
vessel,0,0,1790,,
democracy,0,0,1500,,
texas,0,1,1853,,
illinois,0,0,1698,,
shore,0,1,1908,,
tone,0,0,1387,,
access,0,1,1953,,
plaintiff,0,0,1393,,
signs,0,0,1641,,
weather,0,0,1440,,
favour,0,0,1340,,
criticism,0,0,1606,,
grace,0,0,1225,,
observation,0,0,1382,,
injury,0,0,1651,,
gentleman,0,0,1222,,
honour,0,0,1275,,
efficiency,0,0,1593,,
grounds,0,0,1275,,
silence,0,0,1551,,
motor,0,1,1895,,
damage,0,0,1400,,
authors,0,0,1597,,
drive,0,0,1662,,
glory,0,0,1440,,
imagination,0,0,1340,,
decline,0,0,1374,,
nerve,0,0,1532,,
arrangement,0,0,1715,,
arrival,0,0,1393,,
navy,0,1,1872,,
ocean,0,0,1300,,
agency,0,0,1600,,
declaration,0,0,1340,,
waters,0,0,Old English,,
victory,0,0,1576,,
slavery,0,0,1548,,
joy,0,0,1529,,
smile,0,0,1823,,
bread,0,1,1910,,
wisdom,0,0,Old English,,
port,0,1,1982,,
egypt,0,0,Old English,,
testament,0,1,1878,,
harvard,0,0,Old English,,
items,0,0,1601,,
advantages,0,0,1459,,
editor,0,0,1825,,
poem,0,0,1487,,
mankind,0,0,1672,,
crisis,0,0,1400,,
rain,0,0,1603,,
sin,0,0,1330,,
vision,0,0,1594,,
railway,0,0,1844,,
competition,0,0,1650,,
amounts,0,0,1450,,
characters,0,0,1555,,
defence,0,0,1398,,
root,0,1,1894,,
bonds,0,1,1884,,
strike,0,0,1690,,
flowers,0,1,1881,,
scheme,0,0,1716,,
extension,0,0,1400,,
couple,0,0,1320,,
benefits,0,0,1549,,
peoples,0,0,1475,,
aim,0,1,1994,,
teeth,0,0,1425,,
surprise,0,0,1474,,
novel,0,0,1405,,
tears,0,0,1611,,
ear,0,0,1847,,
